protocol_name,date_of_attack,amount_lost,attack_type
Iron Finance,3/16/2021,"$170,000",
Roll,3/14/2021,"$5,700,000",
DODO,3/8/2021,"$1,910,000",
Paid Network,3/5/2021,"$160,000,000",
Meerkat Finance,3/4/2021,"$31,000,000",
Furucombo,2/28/2020,"$14,000,000",
Cream Finance,2/12/2021,"$37,000,000",
Alpha Finance Lab,2/13/2021,"$37,000,000",
BT Finance,2/12/2021,"$1,500,000",
Growth DeFi,2/8/2021,"$1,300,000",
Yearn Finance,2/4/2021,"$11,000,000",
Saddle Finance,1/19/2021,"$275,000",
Cover Protocol,12/28/2020,"$5,000,000",
Warp Finance,12/18/2020,"$7,700,000",
Pickle Finance,11/21/2020,"$30,000,000",
Origin Protocol,11/17/2020,"$7,000,000",
Value DeFi,11/14/2020,"$6,000,000",
Akropolis,11/12/2020,"$2,000,000",
Harvest Finance,10/26/2020,"$24,000,000",
Leo Finance,10/11/2020,"$42,000",
Eminence,9/29/2020,"$15,000,000",
bZx,9/13/2020,"$8,000,000",
Soft Yearn Finance,9/7/2020,"$250,000",
Opyn,8/4/2020,"$370,000",
Balancer,6/29/2020,"$500,000",
dForce,4/19/2020,"$24,900,000",
bZx,2/15/2020,"$900,000",
Fulcrum,1/11/2020,"$2,500,000",
Bancor,7/9/2018,13500000,Private Key Compromise
Opyn,8/4/2020,371260,Smart Contract Exploit
MakerDAO,3/12/2020,8320000,Smart Contract Exploit
Uniswap,4/12/2020,300000,Reentrancy
Akropolis,11/12/2020,2030851,Flash Loan Hack
Yearn Finance yDai Vault,2/4/2021,11000000,Flash Loan Hack
Spartan Protocol,5/1/2021,30500000,Flash Loan Hack
Paid Network,3/5/2021,3750000,Smart Contract Exploit
BT Finance,2/9/2021,1500000,Smart Contract Exploit
Synlev,3/12/2021,2000000,Fraud Rug Pull
DefiSaver,07/01/2021,1200000,Whitehat
Compounder Finance,12/01/2020,12500000,Fraud Rug Pull
Meerkat,03/04/2021,31000000,Fraud Rug Pull
PercentFinance,11/04/2020,1000000,Smart Contract Bug
SushiSwap,09/05/2020,13808454,Fraud Rug Pull
Cheese Bank,11/06/2020,3300000,Flash Loan Hack
The DAO,12/06/2016,50000000,Reentrancy
Rari Capital,05/07/2021,10000000,Smart Contract Exploit
DefiSaver,08/10/2020,310000,Smart Contract Exploit
SpankChain,09/10/2018,37950,Reentrancy
wLeo,12/10/2020,42000,Smart Contract Exploit
Axion,11/12/2020,600000,Mint Exploit
Alpha Homora,2/13/2021,38000000,Flash Loan Hack
YAM Finance,08/13/2020,750000,Rebase Error
bZx,09/13/2020,8000000,Smart Contract Exploit
Roll,03/14/2021,5700000,Private Key Compromise
inSure,06/14/2021,25000000,Smart Contract Exploit
Value DeFi,11/14/2020,6000000,Flash Loan Hack
bZx,02/15/2020,355880,Flash Loan Hack
Origin Dollar,11/16/2020,7700000,Flash Loan Hack
Iron Finance,03/17/2021,170000,Other
88mph,11/17/2020,100000,Mint Exploit
Warp Finance,12/17/2020,7700000,Flash Loan Hack
bZx,02/18/2020,633000,Flash Loan Hack
True Seigniorage Dollar,03/18/2021,16600,Mint Exploit
Bancor,06/18/2020,135229,Other
dForce,04/19/2020,24500000,Reentrancy
Pancake Bunny,05/19/2021,45000000,Flash Loan Hack
Pickle Finance,11/21/2020,19700000,Smart Contract Exploit
Hegic,04/23/2020,48000,Smart Contract Bug
Deriswap,11/23/2020,53000,Fraud Rug Pull
Sythetix sETH Exploit,06/25/2019,,Other
Harvest,10/26/2020,33800000,Flash Loan Hack
Julswap,05/27/2021,,Flash Loan Hack
Uranium Finance,04/28/2021,57200000,Smart Contract Exploit
BurgerSwap,05/28/2021,7200000,Flash Loan Hack
null,06/28/2020,449740,Flash Loan Hack
Eminence,09/28/2020,15000000,Flash Loan Hack
Cover Protocol,12/28/2020,9400000,Mint Exploit
SushiSwap,1/29/21,108000,Smart Contract Exploit
VEther/Vader,06/30/2020,900000,Smart Contract Exploit
SushiSwap,11/30/2020,15000,Smart Contract Exploit
Force DAO,4/6/2021,367000,Smart Contract Exploit
Growth DeFi,2/8/2021,1400000,Smart Contract Exploit
DODO,3/9/2021,3800000,Flash Loan Hack
Mocha Set Dollar,01/01/2021,6679,Fraud Rug Pull
Static,01/01/2021,,Fraud Rug Pull
Multiple Finance,02/01/2021,240000,Fraud Rug Pull
Vaultz,02/02/2021,7625,Fraud Rug Pull
Penny Protocol,04/01/2021,1884,Fraud Rug Pull
Xdef Finance,05/01/2021,561000,Fraud Rug Pull
Shopin,06/01/2018,10000000,ICO Scam
Kore,11/01/2020,346488,Fraud Rug Pull
Kper Network,11/01/2020,550000,Fraud Rug Pull
PlexCoin,12/01/2017,2000000,ICO Scam
AriseBank,02/02/2018,4200000,ICO Scam
DeFlast Finance,02/02/2021,300000,Whitehat
OracleSwapToken,02/02/2021,127327,Fraud Rug Pull
Hedget,03/02/2021,,Fraud Rug Pull
